Heading,Summary,Category,Link,Timestamp
"Coronavirus Live Updates: Drug Proven to Reduce Virus Deaths, Scientists Say","Health care workers in Europe protest for better working conditions. The virus flares in Beijing. Officials in Tulsa, Okla., worry that President Trump's planned rally could cause a spike.",World,/2020/06/16/world/coronavirus-live-updates.html,"2020-06-16,Tuesday"
​North Korea Blows Up Liaison Office Shared With South Korea,"The office, opened in 2018, was the first channel for full-time, person-to-person contact between the Koreas.",World,/2020/06/16/world/asia/north-korea-explosion-liaison-office.html,"2020-06-16,Tuesday"
20 Indian Soldiers Killed in Deadly Border Clash With China,"The troops were apparently killed by Chinese soldiers in close-quarter combat high up in the Himalayas, just as the two countries were trying to de-escalate tensions.",World,/2020/06/16/world/asia/indian-china-border-clash.html,"2020-06-16,Tuesday"
"In Iraq, a New Prime Minister Takes Stock of His Bloodied Land","In one city ruined by war, even the stones seem to have voices. They tell the stories of people who can no longer speak for themselves.",World,/2020/06/16/world/middleeast/iraq-prime-minister-mustafa-kadhimi.html,"2020-06-16,Tuesday"
"Arrested for Waving Rainbow Flag, a Gay Egyptian Takes Her Life","Charged with 'inciting debauchery,' Sarah Hegazi was jailed and tortured.",World,/2020/06/15/world/middleeast/egypt-gay-suicide-sarah-hegazi.html,"2020-06-15,Monday"
Syria's Economy Collapses Even as Civil War Winds to a Close,"President Bashar al-Assad faces threats he cannot bomb into submission, as protests erupt over living standards and a rift opens among the ruling elite.",World,/2020/06/15/world/middleeast/syria-economy-assad-makhlouf.html,"2020-06-15,Monday"
Coronavirus Accelerates Across Africa,"The virus was slow to start in many African countries, but epidemiologists say the number of confirmed cases on the continent is now rising fast.",World,/2020/06/16/world/africa/coronavirus-africa.html,"2020-06-16,Tuesday"
Ireland's 2 Main Parties to Jointly Govern for First Time,The deal between Fianna Fail and Fine Gael attests to the diminished stature of Ireland's traditional parties as its political landscape fractures and as support for Sinn Fein grows.,World,/2020/06/15/world/europe/ireland-coalition-government.html,"2020-06-15,Monday"
"In Europe, Travel Returns, but Not Confidence About What Comes Next","Borders and businesses are reopening, even as politicians and scientists warn that new waves of coronavirus infection might be on the way.",World,/2020/06/15/world/europe/coronavirus-europe-borders-reopen.html,"2020-06-15,Monday"
"Most Coronavirus Tests Cost About $100. Why Did One Cost $2,315?","U.S. health care prices are unregulated, opaque and unpredictable. When Congress required insurers to cover Covid-19 testing, a few providers decided to take advantage.",World,/2020/06/16/upshot/coronavirus-test-cost-varies-widely.html,"2020-06-16,Tuesday"
"When Rich New Yorkers Fled, These Workers Kept the City Running","While the coronavirus slowed most of the city to a crawl, commuting in the Mount Hope neighborhood of the Bronx increased because of all the essential workers living there.",World,/2020/06/16/nyregion/mount-hope-bronx-coronavirus-essential-workers.html,"2020-06-16,Tuesday"
Slowing the Coronavirus Is Speeding the Spread of Other Diseases,Many mass immunization efforts worldwide were halted this spring to prevent spread of the virus at crowded inoculation sites. The consequences have been alarming.,World,/2020/06/14/health/coronavirus-vaccines-measles.html,"2020-06-14,Sunday"
How the Stoop and the Sidewalk Helped New Yorkers Stay Sane,A look back at maybe the one good thing to come out of lockdown: getting to know your neighbors.,World,/2020/06/14/nyregion/coronavirus-nyc-stoop-neighbors.html,"2020-06-14,Sunday"
"'If I Was Martha, What Would I Do?' For One, Stay Upright","The Martha Graham Dance Company has reimagined a lost 1937 solo, inspired by the Spanish Civil War, for the digital world.",World,/2020/06/16/arts/dance/martha-graham-immediate-tragedy-virus.html,"2020-06-16,Tuesday"
When Your Restaurant's Star Dish Is Blamed for Spreading Coronavirus,"As restaurants around the world close or retool to enforce social distancing, Hong Kong's hot pot eateries offer a cautionary tale and some good advice.",World,/2020/03/25/world/asia/hong-kong-coronavirus-hot-pot.html,"2020-03-25,Wednesday"
Rome's Homeless Don't Have the Luxury of Staying Home,How do you wash your hands without a sink? Stock up on food without money? Or shelter in place when you live on the streets? Charities in the Italian capital are struggling to respond.,World,/2020/03/24/world/europe/italy-coronavirus-homeless.html,"2020-03-24,Tuesday"
'The Face of the Coronavirus': A Hong Kong Student Shunned in Italy,"Since arriving in Bologna, Ciara Lo said she has been discriminated against at a bank and a police station because she is Chinese.",World,/2020/03/02/world/asia/coronavirus-italy-racism.html,"2020-03-02,Monday"
"Making a Plague Movie, With Coronavirus on the Doorstep","A British film crew shooting in Italy suddenly found concern about the coronavirus encroaching, including a text from the director's mother.",World,/2020/03/01/world/europe/coronavirus-movie-italy-decameron.html,"2020-03-01,Sunday"
He Drove Her to the Hospital. She Gave Him the Coronavirus.,"Taxi and bus drivers are on the forefront of the spread of the coronavirus in Asia, even as a tourism downturn hurts their business.",World,/2020/02/28/world/asia/thailand-coronavirus-bangkok.html,"2020-02-28,Friday"
"Where the Police Wear Masks, and the Bodies Pile Up Fast","The police killed an average of 17 people every day in Brazil last year, and rogue officers are killing even more off duty. 'I'm a hero to my people,' one militia leader said.",World,/2019/12/20/world/americas/brazil-police-shootings-murder.html,"2019-12-20,Friday"
He Was One of Mexico's Deadliest Assassins. Then He Turned on His Cartel.,"'They took away everything left in me that was human and made me a monster,' said the hit man.",World,/2019/12/14/world/americas/sicario-mexico-drug-cartels.html,"2019-12-14,Saturday"
